GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_003E,S0101_C01_004E,S0101_C01_005E,S0101_C01_006E,S0101_C01_007E,S0101_C01_008E,S0101_C01_009E,S0101_C01_010E,S0101_C01_011E,S0101_C01_012E,S0101_C01_013E,S0101_C01_014E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E
Geography,Geographic Area Name,Estimate!!Total!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!AGE!!5 to 9 years,Estimate!!Total!!Total population!!AGE!!10 to 14 years,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!AGE!!35 to 39 years,Estimate!!Total!!Total population!!AGE!!40 to 44 years,Estimate!!Total!!Total population!!AGE!!45 to 49 years,Estimate!!Total!!Total population!!AGE!!50 to 54 years,Estimate!!Total!!Total population!!AGE!!55 to 59 years,Estimate!!Total!!Total population!!AGE!!60 to 64 years,Estimate!!Total!!Total population!!AGE!!65 to 69 years,Estimate!!Total!!Total population!!AGE!!70 to 74 years,Estimate!!Total!!Total population!!AGE!!75 to 79 years,Estimate!!Total!!Total population!!AGE!!80 to 84 years,Estimate!!Total!!Total population!!AGE!!85 years and over
0500000US01001,"Autauga County, Alabama",55200,3263,4009,3570,3855,3337,3660,3404,4095,3279,3874,3979,4131,2694,2271,2440,1498,1026,815
0500000US01003,"Baldwin County, Alabama",208107,11609,11689,14323,12707,10790,11825,11501,12428,12949,13694,14636,14440,14851,13141,11410,7373,4792,3949
0500000US01005,"Barbour County, Alabama",25782,1390,1450,1677,1434,1658,1863,1812,1656,1448,1672,1780,1657,1651,1515,1305,841,551,422
0500000US01007,"Bibb County, Alabama",22527,1275,1178,1289,1514,1491,1557,1518,1455,1440,1813,1626,1494,1216,1280,842,624,488,427
0500000US01009,"Blount County, Alabama",57645,3485,3632,3995,3717,3189,3400,3386,3040,4113,3959,3988,3895,3613,3330,2802,1776,1459,866
0500000US01011,"Bullock County, Alabama",10352,596,634,540,772,706,702,418,862,737,611,711,593,854,575,436,248,182,175
0500000US01013,"Butler County, Alabama",20025,1205,1293,1274,1292,1073,1238,1186,1213,1188,1168,1259,1460,1370,1087,994,753,415,557
0500000US01015,"Calhoun County, Alabama",115098,6562,6844,7158,7773,7626,8017,7000,7039,6806,7148,7810,7851,8078,6667,4822,3524,2323,2050
0500000US01017,"Chambers County, Alabama",33826,1950,1728,2099,1960,2525,1829,1862,1861,2112,2281,2367,2638,2205,2089,1686,1185,747,702
0500000US01019,"Cherokee County, Alabama",25853,1204,1470,1520,1603,1383,1437,1092,1561,1356,1749,1893,2047,1917,1934,1492,1188,528,479
0500000US01021,"Chilton County, Alabama",43930,2767,3103,2869,2823,2575,2955,2874,2716,2892,2843,2813,3037,2736,2048,2088,1385,804,602
0500000US01023,"Choctaw County, Alabama",13075,671,707,760,807,694,689,637,617,829,826,980,1074,900,876,771,680,262,295
0500000US01025,"Clarke County, Alabama",24387,1364,1375,1591,1611,1576,1362,1231,1502,1419,1568,1749,1940,1473,1534,1041,956,630,465
0500000US01027,"Clay County, Alabama",13378,670,651,997,893,882,615,579,790,864,814,1010,1126,835,804,740,527,332,249
0500000US01029,"Cleburne County, Alabama",14938,821,1055,962,895,760,853,853,832,992,1109,1001,966,1036,1046,572,540,233,412
0500000US01031,"Coffee County, Alabama",51288,3178,3251,3588,3271,3088,3267,3207,3427,3337,3470,3367,3543,2919,2724,2137,1641,967,906
0500000US01033,"Colbert County, Alabama",54495,3098,3272,3189,3134,3164,3516,2980,2807,3729,3578,3817,3831,3878,3093,2910,2028,1255,1216
0500000US01035,"Conecuh County, Alabama",12514,715,894,572,872,613,691,597,630,721,740,861,1075,826,948,686,511,250,312
0500000US01037,"Coosa County, Alabama",10855,342,432,722,550,579,587,571,430,831,778,768,1109,788,790,560,505,312,201
0500000US01039,"Covington County, Alabama",37351,2142,2496,2138,2086,2051,2231,2063,1996,2102,2266,2629,2642,2859,2328,1902,1451,1107,862
0500000US01041,"Crenshaw County, Alabama",13865,787,868,925,862,748,899,668,945,797,815,1011,1070,928,794,741,433,263,311
0500000US01043,"Cullman County, Alabama",82313,4979,4736,5596,5009,4781,5389,4777,5007,5171,5257,5756,5716,5336,4479,4277,2649,2297,1101
0500000US01045,"Dale County, Alabama",49255,3231,3162,3148,3023,3309,3671,3455,2969,2847,3036,3117,3629,2719,2670,1909,1538,958,864
0500000US01047,"Dallas County, Alabama",40029,2477,2842,2682,2906,2522,2411,2263,2246,2209,2247,2688,3068,2763,2675,1318,1260,922,530
0500000US01049,"DeKalb County, Alabama",71200,4251,4916,5151,4805,4201,4435,4157,4427,4590,4769,4627,4919,4333,4030,3017,2225,1308,1039
0500000US01051,"Elmore County, Alabama",81212,4736,4761,5460,5243,5253,5710,5455,5539,5594,5525,5757,5750,4659,4001,3270,1962,1396,1141
0500000US01053,"Escambia County, Alabama",37328,2122,2290,2491,2212,2248,2533,2449,2437,2365,2389,2508,2453,2355,2164,1577,1381,696,658
0500000US01055,"Etowah County, Alabama",102939,5793,6148,6210,6484,6309,6286,5803,6632,6316,7054,6994,7243,6790,6662,4518,3353,2402,1942
0500000US01057,"Fayette County, Alabama",16585,925,914,1036,1076,917,941,958,741,1134,1082,1097,1135,1237,1073,941,613,397,368
0500000US01059,"Franklin County, Alabama",31542,2165,1851,2416,2021,2277,1899,2094,1658,2314,1901,2138,1662,2046,1694,1263,990,588,565
0500000US01061,"Geneva County, Alabama",26491,1445,1703,1681,1661,1403,1440,1533,1584,1532,1695,1905,2049,1708,1749,1240,987,737,439
0500000US01063,"Greene County, Alabama",8426,490,537,488,493,585,508,498,496,270,411,586,688,660,700,254,380,180,202
0500000US01065,"Hale County, Alabama",14887,971,887,986,1128,844,883,804,1047,583,822,1065,970,1180,953,620,405,397,342
