GEO_ID,NAME,YEAR,S0101_C01_001E,S0101_C01_002E,S0101_C01_003E,S0101_C01_004E,S0101_C01_005E,S0101_C01_006E,S0101_C01_007E,S0101_C01_008E,S0101_C01_009E,S0101_C01_010E,S0101_C01_011E,S0101_C01_012E,S0101_C01_013E,S0101_C01_014E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E
0500000US01001,"Autauga County, Alabama",2020,55639,3235,3725,3645,3716,3458,3659,3419,3893,3411,4005,3811,4105,3067,2460,2491,1830,747,962
0500000US01003,"Baldwin County, Alabama",2020,218289,11960,11559,15171,13005,11031,12284,12103,13809,12602,14137,14433,15236,16243,13911,13015,8942,4719,4129
0500000US01005,"Barbour County, Alabama",2020,25026,1332,1550,1429,1386,1532,1846,1797,1622,1425,1531,1594,1591,1614,1416,1440,903,535,483
0500000US01007,"Bibb County, Alabama",2020,22374,1253,1186,1198,1463,1287,1767,1481,1565,1520,1612,1523,1506,1337,1201,968,803,376,328
0500000US01009,"Blount County, Alabama",2020,57755,3505,3486,4077,3675,3198,3583,3296,3144,3916,3928,3702,3935,3928,3307,2712,1498,1608,1257
0500000US01011,"Bullock County, Alabama",2020,10173,594,583,729,1009,474,619,467,641,552,740,725,544,858,512,502,286,170,168
0500000US01013,"Butler County, Alabama",2020,19726,1161,1174,1301,1191,1079,1205,1096,1238,1248,1039,1127,1435,1340,1344,1101,800,376,471
0500000US01015,"Calhoun County, Alabama",2020,114324,6662,6779,6938,7708,7270,8013,7062,7431,6223,7006,7200,7603,8184,6716,5391,4219,1985,1934
0500000US01017,"Chambers County, Alabama",2020,33427,1984,1769,2022,1756,2125,2323,1899,2206,1500,2173,2320,2569,2251,2308,1673,1291,669,589
0500000US01019,"Cherokee County, Alabama",2020,26035,1128,1317,1584,1487,1376,1438,1117,1473,1397,1623,2020,2098,2008,1785,1770,1087,749,578
0500000US01021,"Chilton County, Alabama",2020,44147,2747,2891,2946,2897,2513,2966,2721,2625,3052,2873,2790,2770,3038,2272,2069,1484,851,642
0500000US01023,"Choctaw County, Alabama",2020,12755,671,525,863,894,539,698,751,550,669,781,897,1057,912,846,805,720,196,381
0500000US01025,"Clarke County, Alabama",2020,23866,1350,1243,1578,1621,1371,1448,1179,1426,1372,1487,1638,1829,1579,1773,819,930,609,614
0500000US01027,"Clay County, Alabama",2020,13285,722,633,924,788,847,691,788,732,744,827,904,1042,937,814,716,492,342,342
0500000US01029,"Cleburne County, Alabama",2020,14952,888,1027,884,860,755,955,831,826,818,1065,994,994,981,1061,746,584,185,498
0500000US01031,"Coffee County, Alabama",2020,52238,3225,3072,3935,3209,2861,3648,3253,3260,3371,3530,3447,3289,3278,2905,2328,1668,1042,917
0500000US01033,"Colbert County, Alabama",2020,54957,3089,3272,3177,3157,3185,3500,3089,3594,2904,3616,3725,3868,3881,3304,2930,1957,1672,1037
0500000US01035,"Conecuh County, Alabama",2020,12219,454,822,822,815,480,808,566,611,707,706,790,770,1097,860,848,604,189,270
0500000US01037,"Coosa County, Alabama",2020,10696,464,338,629,511,473,674,331,628,732,726,802,1076,815,922,582,487,308,198
0500000US01039,"Covington County, Alabama",2020,37096,2139,2358,2167,2200,1866,2198,2014,2210,1955,2223,2506,2664,2739,2435,1944,1294,1126,1058
0500000US01041,"Crenshaw County, Alabama",2020,13826,736,883,909,798,816,835,780,818,816,844,913,938,1076,617,1000,494,336,217
0500000US01043,"Cullman County, Alabama",2020,83345,5163,5102,5168,5220,4608,5408,4910,4343,5652,5418,5598,5772,5642,4471,4560,2730,2169,1411
0500000US01045,"Dale County, Alabama",2020,49293,3260,3317,2874,3020,3300,3665,3312,3108,2757,3043,2896,3418,2992,2714,2171,1485,1149,812
0500000US01047,"Dallas County, Alabama",2020,38184,2386,2654,2523,2687,2323,2324,2133,2301,1921,2101,2391,2723,2849,2529,1597,1060,1106,576
0500000US01049,"DeKalb County, Alabama",2020,71430,4278,4338,5655,4733,4120,4472,4021,4472,4510,4642,4641,4739,4685,4275,3011,2289,1330,1219
0500000US01051,"Elmore County, Alabama",2020,81526,4701,5320,4921,5088,4863,5956,5610,5472,5077,5642,5434,5882,4919,3511,4197,2301,1488,1144
0500000US01053,"Escambia County, Alabama",2020,36775,2130,2202,2489,2361,1890,2643,2418,2544,2095,2301,2247,2333,2480,2126,1645,1338,779,754
0500000US01055,"Etowah County, Alabama",2020,102721,5982,5757,6409,6147,6238,6535,5718,6385,6341,7009,6718,6914,7030,6792,4869,3434,2588,1855
0500000US01057,"Fayette County, Alabama",2020,16406,922,838,1038,1080,956,912,898,771,1070,1029,1057,1127,1281,1224,758,626,448,371
0500000US01059,"Franklin County, Alabama",2020,31587,2295,1759,2511,1949,2002,2011,2116,1402,2288,1911,2196,1853,2073,1662,1308,1020,615,616
