GEO_ID,NAME,YEAR,S0101_C01_001E,S0101_C01_002E,S0101_C01_003E,S0101_C01_004E,S0101_C01_005E,S0101_C01_006E,S0101_C01_007E,S0101_C01_008E,S0101_C01_009E,S0101_C01_010E,S0101_C01_011E,S0101_C01_012E,S0101_C01_013E,S0101_C01_014E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E
Geography,Geographic Area Name,2017,Estimate!!Total!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!AGE!!5 to 9 years,Estimate!!Total!!Total population!!AGE!!10 to 14 years,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!AGE!!35 to 39 years,Estimate!!Total!!Total population!!AGE!!40 to 44 years,Estimate!!Total!!Total population!!AGE!!45 to 49 years,Estimate!!Total!!Total population!!AGE!!50 to 54 years,Estimate!!Total!!Total population!!AGE!!55 to 59 years,Estimate!!Total!!Total population!!AGE!!60 to 64 years,Estimate!!Total!!Total population!!AGE!!65 to 69 years,Estimate!!Total!!Total population!!AGE!!70 to 74 years,Estimate!!Total!!Total population!!AGE!!75 to 79 years,Estimate!!Total!!Total population!!AGE!!80 to 84 years,Estimate!!Total!!Total population!!AGE!!85 years and over
0500000US01001,"Autauga County, Alabama",2017,55036,3138,3869,3920,3881,3471,3542,3280,4101,3375,4139,3834,3963,2680,2369,2264,1412,953,845
0500000US01003,"Baldwin County, Alabama",2017,203360,11506,12505,12985,12636,10706,11375,11374,12389,12978,13095,14546,13746,14832,13012,10300,6759,4744,3872
0500000US01005,"Barbour County, Alabama",2017,26201,1436,1460,1678,1457,1736,1917,1844,1688,1507,1728,1803,1797,1579,1498,1283,776,594,420
0500000US01007,"Bibb County, Alabama",2017,22580,1279,1238,1320,1465,1419,1627,1625,1350,1610,1755,1646,1473,1371,1137,822,650,478,315
0500000US01009,"Blount County, Alabama",2017,57667,3496,3636,4034,3801,3225,3299,3401,3083,4048,4134,4035,3875,3592,3519,2519,1801,1297,872
0500000US01011,"Bullock County, Alabama",2017,10478,611,659,524,621,686,755,422,892,715,791,763,668,781,598,413,244,191,144
0500000US01013,"Butler County, Alabama",2017,20126,1184,1262,1312,1291,1119,1216,1206,1132,1318,1164,1318,1453,1420,1047,986,652,532,514
0500000US01015,"Calhoun County, Alabama",2017,115527,6556,6995,7209,7811,7981,7917,7021,7414,6569,7323,7876,7740,8110,6531,4739,3322,2373,2040
0500000US01017,"Chambers County, Alabama",2017,33895,2055,1734,2211,1901,2296,2075,1862,1871,2024,2272,2458,2635,2201,2131,1579,1050,721,819
0500000US01019,"Cherokee County, Alabama",2017,25855,1170,1446,1548,1582,1312,1352,1177,1473,1501,1752,2018,2011,2091,2021,1332,1122,514,433
0500000US01021,"Chilton County, Alabama",2017,43805,2842,2803,3095,2699,2669,2816,2802,2885,2920,2778,2878,3189,2639,2288,1818,1361,685,638
0500000US01023,"Choctaw County, Alabama",2017,13188,662,730,786,851,710,641,659,662,818,852,1014,1044,923,893,736,590,383,234
0500000US01025,"Clarke County, Alabama",2017,24625,1366,1392,1668,1650,1628,1306,1301,1490,1458,1624,1808,1800,1590,1468,1076,824,579,597
0500000US01027,"Clay County, Alabama",2017,13407,677,788,876,898,713,716,635,663,984,840,1045,1092,872,810,718,521,303,256
0500000US01029,"Cleburne County, Alabama",2017,14939,877,994,998,896,787,804,818,949,941,1122,1020,1042,931,979,618,446,274,443
0500000US01031,"Coffee County, Alabama",2017,51073,3169,3441,3345,3357,3025,3261,3179,3373,3299,3485,3556,3556,2875,2549,2112,1607,1030,854
0500000US01033,"Colbert County, Alabama",2017,54435,3076,3267,3256,3196,3217,3395,3122,2654,3805,3563,3905,3917,3772,3029,2868,1953,1307,1133
0500000US01035,"Conecuh County, Alabama",2017,12649,798,910,602,797,770,611,559,639,742,771,888,1020,878,881,731,430,270,352
0500000US01037,"Coosa County, Alabama",2017,10955,388,473,672,617,688,445,609,472,925,666,824,1031,841,811,514,442,293,244
0500000US01039,"Covington County, Alabama",2017,37519,2170,2274,2364,2114,2181,2103,2131,2065,2105,2280,2762,2680,2677,2297,1916,1602,954,844
0500000US01041,"Crenshaw County, Alabama",2017,13866,784,873,934,956,731,817,686,922,803,846,1031,1112,884,859,630,433,278,287
0500000US01043,"Cullman County, Alabama",2017,81703,4926,4610,5659,4896,4892,5248,4772,5069,5084,5302,5838,5740,5159,4626,4008,2521,2136,1217
0500000US01045,"Dale County, Alabama",2017,49393,3248,3034,3333,3176,3314,3626,3537,3063,2832,2997,3197,3538,2700,2698,1888,1583,829,800
0500000US01047,"Dallas County, Alabama",2017,40755,2516,2789,2918,2950,2733,2468,2294,2168,2314,2328,2831,3010,2809,2561,1348,1299,786,633
0500000US01049,"DeKalb County, Alabama",2017,71194,4269,5162,5031,4725,4313,4270,4296,4625,4480,4902,4619,4720,4367,3852,3075,2201,1367,920
0500000US01051,"Elmore County, Alabama",2017,80989,4714,5170,5123,5152,5552,5401,5542,5461,5776,5603,5812,5754,4509,4046,3020,1919,1327,1108
0500000US01053,"Escambia County, Alabama",2017,37621,2195,2337,2442,2384,2367,2366,2417,2493,2367,2413,2685,2478,2264,2012,1670,1288,741,702
0500000US01055,"Etowah County, Alabama",2017,103132,5786,6158,6415,6482,6546,6033,5854,6857,6435,6901,7133,7410,6715,6507,4379,3185,2439,1897
0500000US01057,"Fayette County, Alabama",2017,16657,913,919,1045,1115,950,909,917,883,1064,1085,1138,1115,1265,998,963,616,362,400
0500000US01059,"Franklin County, Alabama",2017,31507,1897,2005,2474,2138,2259,1801,2003,1862,2166,1996,2087,1765,1915,1635,1364,1021,661,458
0500000US01061,"Geneva County, Alabama",2017,26572,1464,1616,1726,1667,1433,1492,1465,1451,1807,1768,1874,2093,1657,1634,1303,934,746,442
0500000US01063,"Greene County, Alabama",2017,8533,514,439,688,527,535,506,496,469,284,459,584,680,699,622,293,293,203,242
0500000US01065,"Hale County, Alabama",2017,14995,943,827,1048,1108,908,844,806,1035,571,853,1184,923,1235,1017,566,432,373,322
0500000US01067,"Henry County, Alabama",2017,17110,920,897,1105,992,1073,784,815,1185,1016,1075,1153,1261,1246,1146,1019,646,343,434
0500000US01069,"Houston County, Alabama",2017,104108,6374,6657,7186,6452,6201,6858,6713,6093,6938,6628,7236,7298,6271,5846,4141,3102,2173,1941
0500000US01071,"Jackson County, Alabama",2017,52326,2761,3285,3142,3210,2912,2913,2835,3095,3475,3519,3726,4012,3633,3537,2398,1735,1238,900
0500000US01073,"Jefferson County, Alabama",2017,659460,42783,43092,41136,41579,43822,48650,46208,42672,40813,40576,44222,45746,41664,32868,21960,16584,12494,12591
0500000US01075,"Lamar County, Alabama",2017,14021,677,935,891,869,711,729,772,646,922,911,1013,1134,922,890,690,634,374,301
0500000US01077,"Lauderdale County, Alabama",2017,92590,4743,5657,4901,6113,8008,5519,5278,4660,5658,5753,6281,6567,5969,5235,4732,3285,2149,2082
0500000US01079,"Lawrence County, Alabama",2017,33288,1836,2141,2031,1963,1947,2041,1911,2001,2043,2294,2693,2677,2103,1954,1524,912,729,488
0500000US01081,"Lee County, Alabama",2017,156597,9283,9190,9602,13532,22538,12059,10395,9377,9544,9188,9155,8221,7677,6534,3993,3130,1766,1413
0500000US01083,"Limestone County, Alabama",2017,91695,5363,5531,6372,6152,5251,5565,6357,6069,6449,6798,7079,6310,5264,4254,3652,2340,1643,1246
0500000US01085,"Lowndes County, Alabama",2017,10362,648,542,780,611,716,672,593,536,544,650,794,795,680,579,461,408,177,176
0500000US01087,"Macon County, Alabama",2017,19358,941,988,900,1985,2264,1143,907,960,873,1038,1237,1268,1414,1180,891,538,396,435
0500000US01089,"Madison County, Alabama",2017,353213,20661,21015,23125,23817,24839,24998,23587,21789,21226,24328,28313,25475,20659,16163,12236,8739,6765,5478
0500000US01091,"Marengo County, Alabama",2017,19743,1195,1104,1415,1422,1050,1235,1048,1095,1167,1236,1345,1307,1436,1103,934,811,562,278
0500000US01093,"Marion County, Alabama",2017,30058,1540,1622,1976,1871,1643,1727,1530,1580,2058,2045,2237,2033,2055,1879,1608,1246,587,821
0500000US01095,"Marshall County, Alabama",2017,94738,6367,6347,6809,6230,5737,5962,5641,5524,6307,5892,6453,6003,5772,5227,4156,2958,1783,1570
0500000US01097,"Mobile County, Alabama",2017,414328,27144,26848,27821,27517,29120,29830,26662,25197,24432,25348,28378,27928,26225,21707,15184,10510,7174,7303
0500000US01099,"Monroe County, Alabama",2017,21745,1284,1262,1544,1514,1347,1113,1092,1278,1171,1423,1516,1665,1488,1263,1096,703,544,442
0500000US01101,"Montgomery County, Alabama",2017,227120,15331,15512,14258,15205,17496,17284,15722,14109,14425,13635,14816,15113,13010,10736,7186,5957,3712,3613
0500000US01103,"Morgan County, Alabama",2017,119157,7043,8153,7365,7534,6968,7324,7307,7803,7429,8183,8744,8565,7363,6570,4811,3317,2384,2294
0500000US01105,"Perry County, Alabama",2017,9680,561,455,755,1049,1002,220,412,736,407,400,658,747,487,631,404,276,232,248
0500000US01107,"Pickens County, Alabama",2017,20170,1120,1024,1243,1316,1226,1292,1247,1220,1082,1352,1584,1490,1332,1241,829,604,460,508
0500000US01109,"Pike County, Alabama",2017,33287,1855,1888,1726,2888,5273,2709,1680,1607,1805,1679,1817,1919,1697,1405,1369,985,565,420
0500000US01111,"Randolph County, Alabama",2017,22530,1257,1446,1334,1605,1294,1081,1153,1293,1513,1352,1567,1506,1700,1530,1039,913,497,450
