state,year,week,total_patients,ili_patients,providers
Alabama,2018,40,39289,640,79
Alaska,2018,40,3952,79,15
Arizona,2018,40,17692,307,42
Arkansas,2018,40,4889,54,14
California,2018,40,47059,698,104
Colorado,2018,40,40487,843,72
Connecticut,2018,40,4864,73,15
Delaware,2018,40,2530,0,10
District of Columbia,2018,40,14457,314,4
Florida,2018,40,,,
Georgia,2018,40,79746,1850,95
Hawaii,2018,40,2159,34,17
Idaho,2018,40,1525,8,6
Illinois,2018,40,49752,394,100
Indiana,2018,40,5181,65,24
Iowa,2018,40,6306,32,20
Kansas,2018,40,13769,119,33
Kentucky,2018,40,11541,112,34
Louisiana,2018,40,50699,1256,95
Maine,2018,40,14583,135,50
Maryland,2018,40,8184,58,24
Massachusetts,2018,40,50115,505,57
Michigan,2018,40,27319,281,85
Minnesota,2018,40,7545,97,24
Mississippi,2018,40,17563,339,44
Missouri,2018,40,4296,25,17
Montana,2018,40,7717,49,30
Nebraska,2018,40,4580,89,47
Nevada,2018,40,16708,65,35
New Hampshire,2018,40,3116,19,16
New Jersey,2018,40,32714,885,41
New Meico,2018,40,20066,171,47
New York,2018,40,64562,623,131
North Carolina,2018,40,98756,856,148
North Dakota,2018,40,3412,32,11
Ohio,2018,40,15998,127,45
Oklahoma,2018,40,6784,113,22
Oregon,2018,40,33060,258,70
Pennsylvania,2018,40,59432,536,139
Rhode Island,2018,40,6433,15,23
South Carolina,2018,40,15918,217,26
South Dakota,2018,40,15571,147,32
Tennessee,2018,40,7198,33,45
Teas,2018,40,28351,730,108
Utah,2018,40,22854,258,51
Vermont,2018,40,4958,53,14
Virginia,2018,40,90099,1373,128
Washington,2018,40,6980,24,29
West Virginia,2018,40,13303,107,44
Wisconsin,2018,40,20948,268,41
Wyoming,2018,40,3706,63,18
Puerto Rico,2018,40,2582,199,6
Virgin Islands,2018,40,1137,26,4
New York City,2018,40,103639,2029,75
Alabama,2018,41,36797,633,79
Alaska,2018,41,4560,109,16
Arizona,2018,41,17202,288,45
Arkansas,2018,41,4656,52,14
California,2018,41,47006,598,105
Colorado,2018,41,41818,978,70
Connecticut,2018,41,4548,70,14
Delaware,2018,41,2291,2,10
District of Columbia,2018,41,13537,305,4
