state,county,year,total,under_5,age_5-9,age_10-14,age_15-19,age_20-24,age_25-29,age_30-34,age_35-40,age_40-44,age_45-49,age_50-54,age_55-59,age_60-64,age_65-69,age_70-74,age_75-79,age_80-84,over_85
Alabama,Autauga,2017,55036,3138,3869,3920,3881,3471,3542,3280,4101,3375,4139,3834,3963,2680,2369,2264,1412,953,845
Alabama,Baldwin,2017,203360,11506,12505,12985,12636,10706,11375,11374,12389,12978,13095,14546,13746,14832,13012,10300,6759,4744,3872
Alabama,Barbour,2017,26201,1436,1460,1678,1457,1736,1917,1844,1688,1507,1728,1803,1797,1579,1498,1283,776,594,420
Alabama,Bibb,2017,22580,1279,1238,1320,1465,1419,1627,1625,1350,1610,1755,1646,1473,1371,1137,822,650,478,315
Alabama,Blount,2017,57667,3496,3636,4034,3801,3225,3299,3401,3083,4048,4134,4035,3875,3592,3519,2519,1801,1297,872
Alabama,Bullock,2017,10478,611,659,524,621,686,755,422,892,715,791,763,668,781,598,413,244,191,144
Alabama,Butler,2017,20126,1184,1262,1312,1291,1119,1216,1206,1132,1318,1164,1318,1453,1420,1047,986,652,532,514
Alabama,Calhoun,2017,115527,6556,6995,7209,7811,7981,7917,7021,7414,6569,7323,7876,7740,8110,6531,4739,3322,2373,2040
Alabama,Chambers,2017,33895,2055,1734,2211,1901,2296,2075,1862,1871,2024,2272,2458,2635,2201,2131,1579,1050,721,819
Alabama,Cherokee,2017,25855,1170,1446,1548,1582,1312,1352,1177,1473,1501,1752,2018,2011,2091,2021,1332,1122,514,433
Alabama,Chilton,2017,43805,2842,2803,3095,2699,2669,2816,2802,2885,2920,2778,2878,3189,2639,2288,1818,1361,685,638
Alabama,Choctaw,2017,13188,662,730,786,851,710,641,659,662,818,852,1014,1044,923,893,736,590,383,234
Alabama,Clarke,2017,24625,1366,1392,1668,1650,1628,1306,1301,1490,1458,1624,1808,1800,1590,1468,1076,824,579,597
Alabama,Clay,2017,13407,677,788,876,898,713,716,635,663,984,840,1045,1092,872,810,718,521,303,256
Alabama,Cleburne,2017,14939,877,994,998,896,787,804,818,949,941,1122,1020,1042,931,979,618,446,274,443
Alabama,Coffee,2017,51073,3169,3441,3345,3357,3025,3261,3179,3373,3299,3485,3556,3556,2875,2549,2112,1607,1030,854
Alabama,Colbert,2017,54435,3076,3267,3256,3196,3217,3395,3122,2654,3805,3563,3905,3917,3772,3029,2868,1953,1307,1133
Alabama,Conecuh,2017,12649,798,910,602,797,770,611,559,639,742,771,888,1020,878,881,731,430,270,352
Alabama,Coosa,2017,10955,388,473,672,617,688,445,609,472,925,666,824,1031,841,811,514,442,293,244
Alabama,Covington,2017,37519,2170,2274,2364,2114,2181,2103,2131,2065,2105,2280,2762,2680,2677,2297,1916,1602,954,844
Alabama,Crenshaw,2017,13866,784,873,934,956,731,817,686,922,803,846,1031,1112,884,859,630,433,278,287
Alabama,Cullman,2017,81703,4926,4610,5659,4896,4892,5248,4772,5069,5084,5302,5838,5740,5159,4626,4008,2521,2136,1217
Alabama,Dale,2017,49393,3248,3034,3333,3176,3314,3626,3537,3063,2832,2997,3197,3538,2700,2698,1888,1583,829,800
Alabama,Dallas,2017,40755,2516,2789,2918,2950,2733,2468,2294,2168,2314,2328,2831,3010,2809,2561,1348,1299,786,633
Alabama,DeKalb,2017,71194,4269,5162,5031,4725,4313,4270,4296,4625,4480,4902,4619,4720,4367,3852,3075,2201,1367,920
Alabama,Elmore,2017,80989,4714,5170,5123,5152,5552,5401,5542,5461,5776,5603,5812,5754,4509,4046,3020,1919,1327,1108
Alabama,Escambia,2017,37621,2195,2337,2442,2384,2367,2366,2417,2493,2367,2413,2685,2478,2264,2012,1670,1288,741,702
Alabama,Etowah,2017,103132,5786,6158,6415,6482,6546,6033,5854,6857,6435,6901,7133,7410,6715,6507,4379,3185,2439,1897
Alabama,Fayette,2017,16657,913,919,1045,1115,950,909,917,883,1064,1085,1138,1115,1265,998,963,616,362,400
Alabama,Franklin,2017,31507,1897,2005,2474,2138,2259,1801,2003,1862,2166,1996,2087,1765,1915,1635,1364,1021,661,458
Alabama,Geneva,2017,26572,1464,1616,1726,1667,1433,1492,1465,1451,1807,1768,1874,2093,1657,1634,1303,934,746,442
Alabama,Greene,2017,8533,514,439,688,527,535,506,496,469,284,459,584,680,699,622,293,293,203,242
Alabama,Hale,2017,14995,943,827,1048,1108,908,844,806,1035,571,853,1184,923,1235,1017,566,432,373,322
Alabama,Henry,2017,17110,920,897,1105,992,1073,784,815,1185,1016,1075,1153,1261,1246,1146,1019,646,343,434
Alabama,Houston,2017,104108,6374,6657,7186,6452,6201,6858,6713,6093,6938,6628,7236,7298,6271,5846,4141,3102,2173,1941
Alabama,Jackson,2017,52326,2761,3285,3142,3210,2912,2913,2835,3095,3475,3519,3726,4012,3633,3537,2398,1735,1238,900
Alabama,Jefferson,2017,659460,42783,43092,41136,41579,43822,48650,46208,42672,40813,40576,44222,45746,41664,32868,21960,16584,12494,12591
Alabama,Lamar,2017,14021,677,935,891,869,711,729,772,646,922,911,1013,1134,922,890,690,634,374,301
Alabama,Lauderdale,2017,92590,4743,5657,4901,6113,8008,5519,5278,4660,5658,5753,6281,6567,5969,5235,4732,3285,2149,2082
Alabama,Lawrence,2017,33288,1836,2141,2031,1963,1947,2041,1911,2001,2043,2294,2693,2677,2103,1954,1524,912,729,488
Alabama,Lee,2017,156597,9283,9190,9602,13532,22538,12059,10395,9377,9544,9188,9155,8221,7677,6534,3993,3130,1766,1413
Alabama,Limestone,2017,91695,5363,5531,6372,6152,5251,5565,6357,6069,6449,6798,7079,6310,5264,4254,3652,2340,1643,1246
Alabama,Lowndes,2017,10362,648,542,780,611,716,672,593,536,544,650,794,795,680,579,461,408,177,176
Alabama,Macon,2017,19358,941,988,900,1985,2264,1143,907,960,873,1038,1237,1268,1414,1180,891,538,396,435
Alabama,Madison,2017,353213,20661,21015,23125,23817,24839,24998,23587,21789,21226,24328,28313,25475,20659,16163,12236,8739,6765,5478
Alabama,Marengo,2017,19743,1195,1104,1415,1422,1050,1235,1048,1095,1167,1236,1345,1307,1436,1103,934,811,562,278
Alabama,Marion,2017,30058,1540,1622,1976,1871,1643,1727,1530,1580,2058,2045,2237,2033,2055,1879,1608,1246,587,821
Alabama,Marshall,2017,94738,6367,6347,6809,6230,5737,5962,5641,5524,6307,5892,6453,6003,5772,5227,4156,2958,1783,1570
Alabama,Mobile,2017,414328,27144,26848,27821,27517,29120,29830,26662,25197,24432,25348,28378,27928,26225,21707,15184,10510,7174,7303
Alabama,Monroe,2017,21745,1284,1262,1544,1514,1347,1113,1092,1278,1171,1423,1516,1665,1488,1263,1096,703,544,442
Alabama,Montgomery,2017,227120,15331,15512,14258,15205,17496,17284,15722,14109,14425,13635,14816,15113,13010,10736,7186,5957,3712,3613
Alabama,Morgan,2017,119157,7043,8153,7365,7534,6968,7324,7307,7803,7429,8183,8744,8565,7363,6570,4811,3317,2384,2294
Alabama,Perry,2017,9680,561,455,755,1049,1002,220,412,736,407,400,658,747,487,631,404,276,232,248
Alabama,Pickens,2017,20170,1120,1024,1243,1316,1226,1292,1247,1220,1082,1352,1584,1490,1332,1241,829,604,460,508
Alabama,Pike,2017,33287,1855,1888,1726,2888,5273,2709,1680,1607,1805,1679,1817,1919,1697,1405,1369,985,565,420
Alabama,Randolph,2017,22530,1257,1446,1334,1605,1294,1081,1153,1293,1513,1352,1567,1506,1700,1530,1039,913,497,450
Alabama,Russell,2017,58480,4315,4642,3386,3399,4028,4862,4319,3398,3880,3657,3906,4008,3093,2518,2035,1284,978,772
Alabama,St. Clair,2017,86937,5182,5094,6319,5011,5083,5327,5773,5544,6101,6262,6246,6052,5467,4956,3188,2338,1858,1136
Alabama,Shelby,2017,208721,12494,14141,14753,14071,11999,12629,13850,14840,15027,14958,14938,13411,13039,10688,7172,5224,2989,2498
Alabama,Sumter,2017,13084,689,749,677,1234,1491,947,527,661,607,672,825,1000,854,638,506,364,370,273
Alabama,Talladega,2017,80888,4336,4851,5239,5067,5292,5089,4824,5167,5124,5614,5590,5853,5461,4681,3424,2268,1624,1384
Alabama,Tallapoosa,2017,40756,2217,2611,2303,2675,2341,2142,2158,2064,2388,2620,2941,3290,2906,2588,2340,1256,1082,834
Alabama,Tuscaloosa,2017,204424,12242,11839,11735,19534,23929,16650,13152,12518,11720,11155,11708,11816,11688,8293,6374,3864,3001,3206
Alabama,Walker,2017,64927,4017,3917,3960,4009,3827,3967,3597,3340,4407,4246,4711,4543,4532,3658,3390,2112,1489,1205
Alabama,Washington,2017,16746,607,763,1681,1189,899,771,1078,761,1040,1014,1656,1184,1210,966,777,602,374,174
Alabama,Wilcox,2017,10919,548,568,1028,837,696,624,567,493,746,655,673,733,806,682,432,282,307,242
Alabama,Winston,2017,23968,1204,1357,1571,1357,1224,1280,1316,1174,1584,1638,1782,1906,1637,1619,1335,921,547,516
Alaska,Aleutians East Borough,2017,3338,96,115,141,162,269,244,234,237,245,386,458,241,236,158,51,28,13,24
