"state","year","week","visit_date","total_patients","ili_patients","total_population","population_over_65","total_deaths","deaths_over_65"
"Alabama",2019,1,"2019-01-01",40496,1724,"3015552","804881","146","114"
"Alabama",2019,2,"2019-01-08",40318,1363,"3015552","804881","146","114"
"Alabama",2019,3,"2019-01-15",39760,1711,"3015552","804881","146","114"
"Alabama",2019,4,"2019-01-22",39384,2168,"3015552","804881","146","114"
"Alabama",2019,5,"2019-01-29",42566,3376,"3015552","804881","146","114"
"Alabama",2019,6,"2019-02-05",43315,3780,"3015552","804881","146","114"
"Alabama",2019,7,"2019-02-12",41196,3679,"3015552","804881","146","114"
"Alabama",2019,8,"2019-02-19",40017,2907,"3015552","804881","146","114"
"Alabama",2019,9,"2019-02-26",36848,2168,"3015552","804881","146","114"
"Alabama",2019,10,"2019-03-05",36476,1824,"3015552","804881","146","114"
"Alabama",2019,11,"2019-03-12",39615,1862,"3015552","804881","146","114"
"Alabama",2019,12,"2019-03-19",34348,1247,"3015552","804881","146","114"
"Alabama",2019,13,"2019-03-26",34065,1064,"3015552","804881","146","114"
"Alabama",2019,14,"2019-04-02",37236,952,"3015552","804881","146","114"
"Alabama",2019,15,"2019-04-09",38422,814,"3015552","804881","146","114"
"Alabama",2019,16,"2019-04-16",39192,757,"3015552","804881","146","114"
"Alabama",2019,17,"2019-04-23",40168,857,"3015552","804881","146","114"
"Alabama",2019,18,"2019-04-30",40535,812,"3015552","804881","146","114"
"Alabama",2019,19,"2019-05-07",41646,747,"3015552","804881","146","114"
"Alabama",2019,20,"2019-05-14",40325,656,"3015552","804881","146","114"
"Alabama",2019,21,"2019-05-21",40208,622,"3015552","804881","146","114"
"Alabama",2019,22,"2019-05-28",39890,549,"3015552","804881","146","114"
"Alabama",2019,23,"2019-06-04",39987,472,"3015552","804881","146","114"
"Alabama",2019,24,"2019-06-11",37896,386,"3015552","804881","146","114"
"Alabama",2019,25,"2019-06-18",36139,364,"3015552","804881","146","114"
"Alabama",2019,26,"2019-06-25",36141,292,"3015552","804881","146","114"
"Alabama",2019,27,"2019-07-02",34144,237,"3015552","804881","146","114"
"Alabama",2019,28,"2019-07-09",37903,272,"3015552","804881","146","114"
"Alabama",2019,29,"2019-07-16",36395,287,"3015552","804881","146","114"
"Alabama",2019,30,"2019-07-23",36212,292,"3015552","804881","146","114"
"Alabama",2019,31,"2019-07-30",36183,316,"3015552","804881","146","114"
"Alabama",2019,32,"2019-08-06",36547,279,"3015552","804881","146","114"
"Alabama",2019,33,"2019-08-13",38425,411,"3015552","804881","146","114"
"Alabama",2019,34,"2019-08-20",37607,530,"3015552","804881","146","114"
"Alabama",2019,35,"2019-08-27",38200,609,"3015552","804881","146","114"
"Alabama",2019,36,"2019-09-03",38097,690,"3015552","804881","146","114"
"Alabama",2019,37,"2019-09-10",38206,688,"3015552","804881","146","114"
"Alabama",2019,38,"2019-09-17",36991,616,"3015552","804881","146","114"
"Alabama",2019,39,"2019-09-24",36441,699,"3015552","804881","146","114"
"Alabama",2019,40,"2019-10-01",47411,937,"3015552","804881","146","114"
"Alabama",2019,41,"2019-10-08",45565,862,"3015552","804881","146","114"
"Alabama",2019,42,"2019-10-15",42994,947,"3015552","804881","146","114"
"Alabama",2019,43,"2019-10-22",45349,1066,"3015552","804881","146","114"
"Alabama",2019,44,"2019-10-29",45624,1209,"3015552","804881","146","114"
"Alabama",2019,45,"2019-11-05",47714,1603,"3015552","804881","146","114"
"Alabama",2019,46,"2019-11-12",47170,1724,"3015552","804881","146","114"
"Alabama",2019,47,"2019-11-19",50024,2332,"3015552","804881","146","114"
"Alabama",2019,48,"2019-11-26",43538,2048,"3015552","804881","146","114"
"Alabama",2019,49,"2019-12-03",48312,2441,"3015552","804881","146","114"
"Alabama",2019,50,"2019-12-10",48829,2728,"3015552","804881","146","114"
"Alabama",2019,51,"2019-12-17",48311,3401,"3015552","804881","146","114"
"Alabama",2019,52,"2019-12-24",48587,4240,"3015552","804881","146","114"
"Alabama",2020,1,"2020-01-01",49225,3573,"3036789","827434","170","154"
"Alabama",2020,2,"2020-01-08",46629,2504,"3036789","827434","170","154"
"Alabama",2020,3,"2020-01-15",47097,2657,"3036789","827434","170","154"
"Alabama",2020,4,"2020-01-22",47132,3140,"3036789","827434","170","154"
"Alabama",2020,5,"2020-01-29",51932,4688,"3036789","827434","170","154"
"Alabama",2020,6,"2020-02-05",52155,4785,"3036789","827434","170","154"
"Alabama",2020,7,"2020-02-12",49734,3750,"3036789","827434","170","154"
"Alabama",2020,8,"2020-02-19",11046,1075,"3036789","827434","170","154"
"Alabama",2020,9,"2020-02-26",47151,2849,"3036789","827434","170","154"
"Alabama",2020,10,"2020-03-04",48850,3090,"3036789","827434","170","154"
"Alabama",2020,11,"2020-03-11",48611,2968,"3036789","827434","170","154"
"Alabama",2020,12,"2020-03-18",36519,2427,"3036789","827434","170","154"
"Alabama",2020,13,"2020-03-25",28383,1319,"3036789","827434","170","154"
"Alabama",2020,14,"2020-04-01",23835,772,"3036789","827434","170","154"
"Alabama",2020,15,"2020-04-08",23085,532,"3036789","827434","170","154"
"Alabama",2020,16,"2020-04-15",22248,460,"3036789","827434","170","154"
"Alabama",2020,17,"2020-04-22",23374,346,"3036789","827434","170","154"
"Alabama",2020,18,"2020-04-29",24882,313,"3036789","827434","170","154"
"Alabama",2020,19,"2020-05-06",27698,291,"3036789","827434","170","154"
"Alabama",2020,20,"2020-05-13",29246,323,"3036789","827434","170","154"
"Alabama",2020,21,"2020-05-20",31148,322,"3036789","827434","170","154"
"Alabama",2020,22,"2020-05-27",31218,276,"3036789","827434","170","154"
"Alabama",2020,23,"2020-06-03",33624,296,"3036789","827434","170","154"
"Alabama",2020,24,"2020-06-10",34752,309,"3036789","827434","170","154"
"Alabama",2020,25,"2020-06-17",36971,355,"3036789","827434","170","154"
"Alabama",2020,26,"2020-06-24",36679,393,"3036789","827434","170","154"
"Alabama",2020,27,"2020-07-01",36512,485,"3036789","827434","170","154"
"Alabama",2020,28,"2020-07-08",40598,654,"3036789","827434","170","154"
"Alabama",2020,29,"2020-07-15",38604,614,"3036789","827434","170","154"
"Alabama",2020,30,"2020-07-22",38320,470,"3036789","827434","170","154"
"Alabama",2020,31,"2020-07-29",37704,435,"3036789","827434","170","154"
"Alabama",2020,32,"2020-08-05",37639,377,"3036789","827434","170","154"
"Alabama",2020,33,"2020-08-12",36973,343,"3036789","827434","170","154"
"Alabama",2020,34,"2020-08-19",35990,338,"3036789","827434","170","154"
"Alabama",2020,35,"2020-08-26",35937,336,"3036789","827434","170","154"
"Alabama",2020,36,"2020-09-02",35555,372,"3036789","827434","170","154"
"Alabama",2020,37,"2020-09-09",36814,366,"3036789","827434","170","154"
"Alabama",2020,38,"2020-09-16",36375,359,"3036789","827434","170","154"
"Alabama",2020,39,"2020-09-23",37494,397,"3036789","827434","170","154"
"Alabama",2020,40,"2020-09-30",36715,408,"3036789","827434","170","154"
"Alabama",2020,41,"2020-10-07",38412,435,"3036789","827434","170","154"
"Alabama",2020,42,"2020-10-14",38150,464,"3036789","827434","170","154"
"Alabama",2020,43,"2020-10-21",38507,500,"3036789","827434","170","154"
"Alabama",2020,44,"2020-10-28",36736,404,"3036789","827434","170","154"
"Alabama",2020,45,"2020-11-04",39776,535,"3036789","827434","170","154"
"Alabama",2020,46,"2020-11-11",43081,507,"3036789","827434","170","154"
"Alabama",2020,47,"2020-11-18",41886,573,"3036789","827434","170","154"
"Alabama",2020,48,"2020-11-25",36538,515,"3036789","827434","170","154"
"Alabama",2020,49,"2020-12-02",41824,603,"3036789","827434","170","154"
"Alabama",2020,50,"2020-12-09",41756,638,"3036789","827434","170","154"
"Alabama",2020,51,"2020-12-16",40367,592,"3036789","827434","170","154"
"Alabama",2020,52,"2020-12-23",34707,532,"3036789","827434","170","154"
"Alabama",2021,1,"2021-01-01",41444,616,"3097991","844427",NULL,NULL
"Alabama",2021,2,"2021-01-08",38413,502,"3097991","844427",NULL,NULL
"Alabama",2021,3,"2021-01-15",39263,438,"3097991","844427",NULL,NULL
"Alabama",2021,4,"2021-01-22",39176,515,"3097991","844427",NULL,NULL
"Alabama",2021,5,"2021-01-29",37936,521,"3097991","844427",NULL,NULL
"Alabama",2021,6,"2021-02-05",37816,482,"3097991","844427",NULL,NULL
"Alabama",2021,7,"2021-02-12",33746,320,"3097991","844427",NULL,NULL
"Alabama",2021,8,"2021-02-19",38863,391,"3097991","844427",NULL,NULL
"Alabama",2021,9,"2021-02-26",36968,341,"3097991","844427",NULL,NULL
"Alabama",2021,10,"2021-03-05",37607,373,"3097991","844427",NULL,NULL
"Alabama",2021,11,"2021-03-12",36003,352,"3097991","844427",NULL,NULL
"Alabama",2021,12,"2021-03-19",37772,382,"3097991","844427",NULL,NULL
"Alabama",2021,13,"2021-03-26",37704,326,"3097991","844427",NULL,NULL
"Alabama",2021,14,"2021-04-02",40234,439,"3097991","844427",NULL,NULL
"Alabama",2021,15,"2021-04-09",40445,464,"3097991","844427",NULL,NULL
"Alabama",2021,16,"2021-04-16",41735,534,"3097991","844427",NULL,NULL
"Alabama",2021,17,"2021-04-23",42855,612,"3097991","844427",NULL,NULL
"Alabama",2021,18,"2021-04-30",41879,673,"3097991","844427",NULL,NULL
"Alabama",2021,19,"2021-05-07",41648,692,"3097991","844427",NULL,NULL
"Alabama",2021,20,"2021-05-14",42263,640,"3097991","844427",NULL,NULL
"Alabama",2021,21,"2021-05-21",40282,587,"3097991","844427",NULL,NULL
"Alabama",2021,22,"2021-05-28",38479,540,"3097991","844427",NULL,NULL
"Alabama",2021,23,"2021-06-04",38995,498,"3097991","844427",NULL,NULL
"Alabama",2021,24,"2021-06-11",39497,412,"3097991","844427",NULL,NULL
"Alabama",2021,25,"2021-06-18",38651,432,"3097991","844427",NULL,NULL
"Alabama",2021,26,"2021-06-25",38372,452,"3097991","844427",NULL,NULL
"Alabama",2021,27,"2021-07-02",39333,460,"3097991","844427",NULL,NULL
"Alabama",2021,28,"2021-07-09",40071,555,"3097991","844427",NULL,NULL
"Alabama",2021,29,"2021-07-16",42274,694,"3097991","844427",NULL,NULL
"Alabama",2021,30,"2021-07-23",46655,778,"3097991","844427",NULL,NULL
"Alabama",2021,31,"2021-07-30",47040,917,"3097991","844427",NULL,NULL
"Alabama",2021,32,"2021-08-06",48734,928,"3097991","844427",NULL,NULL
"Alabama",2021,33,"2021-08-13",48899,1058,"3097991","844427",NULL,NULL
"Alabama",2021,34,"2021-08-20",50108,1324,"3097991","844427",NULL,NULL
"Alabama",2021,35,"2021-08-27",46544,1112,"3097991","844427",NULL,NULL
"Alabama",2021,36,"2021-09-03",44859,967,"3097991","844427",NULL,NULL
"Alabama",2021,37,"2021-09-10",42562,704,"3097991","844427",NULL,NULL
"Alabama",2021,38,"2021-09-17",40416,659,"3097991","844427",NULL,NULL
"Alabama",2021,39,"2021-09-24",40584,699,"3097991","844427",NULL,NULL
"Alabama",2021,40,"2021-10-01",47216,765,"3097991","844427",NULL,NULL
"Alabama",2021,41,"2021-10-08",47906,743,"3097991","844427",NULL,NULL
"Alabama",2021,42,"2021-10-15",47363,772,"3097991","844427",NULL,NULL
"Alabama",2021,43,"2021-10-22",44262,767,"3097991","844427",NULL,NULL
"Alabama",2021,44,"2021-10-29",45545,856,"3097991","844427",NULL,NULL
"Alabama",2021,45,"2021-11-05",43460,997,"3097991","844427",NULL,NULL
"Alabama",2021,46,"2021-11-12",47817,1184,"3097991","844427",NULL,NULL
"Alabama",2021,47,"2021-11-19",39794,1011,"3097991","844427",NULL,NULL
"Alabama",2021,48,"2021-11-26",53969,1321,"3097991","844427",NULL,NULL
"Alabama",2021,49,"2021-12-03",51786,1518,"3097991","844427",NULL,NULL
"Alabama",2021,50,"2021-12-10",51508,1671,"3097991","844427",NULL,NULL
"Alabama",2021,51,"2021-12-17",51071,2033,"3097991","844427",NULL,NULL
"Alabama",2021,52,"2021-12-24",63152,3445,"3097991","844427",NULL,NULL
"Alabama",2022,1,"2022-01-01",61248,2712,"3108079","871034",NULL,NULL
"Alabama",2022,2,"2022-01-08",58758,2410,"3108079","871034",NULL,NULL
"Alabama",2022,3,"2022-01-15",52579,1795,"3108079","871034",NULL,NULL
